Player,height,weight,collage,born,birth_city,birth_state,Num_of_Seasons,Num_of_Pos,Avg_Age,Num_of_Tms,Avg_Games,Avg_GS,Avg_MP,Avg_PER,Avg_TS%,Avg_3PAr,Avg_FTr,Avg_ORB%,Avg_DRB%,Avg_TRB%,Avg_AST%,Avg_STL%,Avg_BLK%,Avg_TOV%,Avg_USG%,Avg_OWS,Avg_DWS,Avg_WS,Avg_WS/48,Avg_OBPM,Avg_DBPM,Avg_BMP,Avg_VORP,Avg_FG,Avg_FGA,Avg_FG%,Avg_3P,Avg_3PA,Avg_3P%,Avg_2P,Avg_2PA,Avg_2P%,Avg_eFG%,Avg_FT,Avg_FTA,Avg_FT%,Avg_ORB,Avg_DRB,Avg_TRB,Avg_AST,Avg_STL,Avg_BLK,Avg_TOV,Avg_PF,Avg_PTS
"Alex Len",216,117,"University of Maryland",1993,Antratsit,Ukraine,3,1,22.00,1,74.67,41.33,1633.00,13.63,0.53,0.02,0.38,10.40,24.47,17.30,5.27,1.07,4.40,15.93,17.23,0.63,1.87,2.57,0.08,-3.57,1.40,-2.13,-0.07,224.33,480.00,0.48,1.67,7.33,0.24,222.67,472.67,0.48,0.48,132.33,183.67,0.72,158.67,360.67,519.33,57.67,36.33,88.33,107.00,228.33,582.67
"Alexander Johnson",206,108,"Florida State University",1983,Albany,Georgia,2,1,23.50,2,51.00,12.50,651.00,11.05,0.57,0.00,0.68,7.40,17.25,12.35,3.80,1.50,2.50,19.05,16.85,0.30,0.50,0.75,0.05,-3.95,-0.60,-4.55,-0.35,76.00,147.00,0.51,0.00,0.00,,76.00,147.00,0.51,0.51,67.50,100.50,0.67,41.00,96.50,137.50,15.00,19.00,22.50,44.50,108.50,219.50
"Alexander Volkov",208,98,,1964,Omsk,Russia,2,1,26.00,1,74.50,15.50,1226.50,13.70,0.52,0.16,0.39,6.65,10.05,8.30,17.75,2.00,1.30,13.45,19.00,1.30,0.90,2.20,0.08,0.60,-0.30,0.25,0.75,194.00,426.50,0.46,24.00,72.00,0.35,170.00,354.50,0.48,0.49,97.50,159.00,0.61,77.50,114.50,192.00,166.50,51.00,26.00,77.00,172.00,509.50
"Alexey Shved",198,86,,1988,Belgorod,Russia,3,1,25.50,5,37.33,5.67,673.00,15.08,0.51,0.44,0.40,2.95,9.70,6.20,21.60,1.77,0.80,13.05,24.23,0.38,0.50,0.88,0.08,0.45,-2.37,-1.90,0.10,96.33,257.00,0.37,34.83,111.33,0.32,61.50,145.67,0.41,0.44,69.67,90.00,0.79,18.00,57.67,75.67,94.33,23.33,9.17,48.50,41.50,297.17
"Alexis Ajinca",218,112,,1988,Saint-Etienne,France,5,1,24.57,4,41.43,10.57,576.14,14.03,0.53,0.11,0.20,8.64,22.77,15.63,5.39,1.53,3.99,12.73,19.80,0.47,0.66,1.14,0.08,-3.00,0.37,-2.63,-0.03,96.29,191.00,0.48,3.43,10.57,0.19,92.86,180.43,0.49,0.50,34.86,43.43,0.76,50.43,120.14,170.57,21.43,15.00,27.57,36.14,99.29,230.86
"Alfred McGuire*",188,81,"St. John's University",1928,"New York","New York",3,1,24.00,1,60.33,,956.00,11.27,0.44,,0.73,,,,,,,,,0.90,0.93,1.80,0.09,,,,,80.67,210.33,0.38,,,,80.67,210.33,0.38,0.38,83.33,152.00,0.53,,,136.33,118.33,,,,162.00,244.67
"Alfredrick Hughes",198,92,,1960,,,1,1,23.00,1,68.00,0.00,866.00,8.20,0.44,0.05,0.23,6.60,8.20,7.40,9.60,1.40,0.30,13.30,21.90,-1.00,0.50,-0.50,-0.03,-4.30,-2.30,-6.50,-1.00,152.00,372.00,0.41,3.00,17.00,0.18,149.00,355.00,0.42,0.41,49.00,84.00,0.58,49.00,64.00,113.00,61.00,26.00,5.00,63.00,79.00,356.00
"Allan Bristow",201,95,"Virginia Polytechnic Institute and State University",1951,Richmond,Virginia,8,1,26.25,4,76.38,54.00,1613.25,14.75,0.51,0.02,0.34,7.66,13.98,10.85,20.58,1.74,0.16,19.62,17.78,1.71,1.11,2.83,0.08,0.18,-0.42,-0.24,0.76,241.63,524.63,0.45,3.33,14.33,0.24,240.38,519.25,0.46,0.46,142.75,178.75,0.79,108.63,210.63,319.25,253.50,60.50,4.88,153.80,161.38,627.25
"Allan Houston",198,90,"University of Tennessee",1971,Louisville,Kentucky,12,1,27.50,2,69.92,60.58,2359.25,14.45,0.54,0.28,0.24,1.46,8.16,4.85,13.02,1.07,0.38,11.52,24.50,2.87,1.73,4.60,0.08,0.85,-1.98,-1.12,0.82,444.75,1001.42,0.44,108.75,270.58,0.40,336.00,730.83,0.46,0.49,214.33,248.25,0.86,29.42,173.42,202.83,165.83,47.17,11.58,146.67,171.83,1212.58
"Allan Ray",188,86,"Villanova University",1984,Bronx,"New York",1,1,22.00,1,47.00,5.00,710.00,10.00,0.51,0.45,0.21,3.00,8.80,5.80,10.50,1.50,0.30,12.90,20.80,0.10,0.50,0.60,0.04,-1.00,-2.50,-3.50,-0.30,100.00,259.00,0.39,48.00,116.00,0.41,52.00,143.00,0.36,0.48,42.00,55.00,0.76,18.00,51.00,69.00,43.00,20.00,3.00,42.00,85.00,290.00
